No.,スタジアム名,住所,スタジアム略称,スタジアム名（英字）,クラブ,入場可能数
55,ニンジニアスタジアム,愛媛県松山市上野町乙46,ニンスタ,Ningineer Stadium,愛媛ＦＣ,20919
56,ありがとうサービス．夢スタジアム,愛媛県今治市高橋ふれあいの丘16,夢スタ,ARIGATOU SERVICES. YUME STADIUM,ＦＣ今治,5063
57,ミクニワールドスタジアム北九州,福岡県北九州市小倉北区浅野3-9-33,ミクスタ,MIKUNI WORLD STADIUM KITAKYUSHU,ギラヴァンツ北九州,15300
58,ユニリーバスタジアム新富,宮崎県児湯郡新富町大字三納代1586,ユニスタ,Unilever Stadium Shintomi,テゲバジャーロ宮崎,5360
59,白波スタジアム,鹿児島県鹿児島市与次郎2-2-2,白波スタ,Shiranami Stadium,鹿児島ユナイテッドＦＣ,12606
60,札幌厚別公園競技場,北海道札幌市厚別区上野幌3条1-2-1,札幌厚別,Sapporo Atsubetsu Stadium,,17493
61,北上総合運動公園北上陸上競技場,岩手県北上市相去町高前檀27-36,北上,Kitakami Stadium,,6376
62,会津総合運動公園あいづ陸上競技場,福島県会津若松市門田町大字御山字村上164,あいづ,Aizu Athletic Park Stadium,,7290
63,郡山西部サッカー場,福島県郡山市大槻町横山26番地,郡山西部,Koriyama Seibu Soccer Field,,3747
64,カンセキスタジアムとちぎ,栃木県宇都宮市西川田4-1-1,カンセキ,kanseki Stadium Tochigi,,24670
65,浦和駒場スタジアム,埼玉県さいたま市浦和区駒場2-1-1,浦和駒場,Urawa Komaba Stadium,,21481
66,駒沢オリンピック公園総合運動場陸上競技場,東京都世田谷区駒沢公園1-1,駒沢,Komazawa Olympic Park Stadium,,20010
67,味の素フィールド西が丘,東京都北区西が丘3-15-1,味フィ西,AJINOMOTO FIELD NISHIGAOKA,,7137
68,横浜市三ツ沢公園陸上競技場,神奈川県横浜市神奈川区三ツ沢西町3-1,三ツ沢陸,Yokohama Mitsuzawa Athletic Stadium,,5425
69,エコパスタジアム,静岡県袋井市愛野2300-1,エコパ,Ecopa Stadium,,51697
70,チュウブＹＡＪＩＮスタジアム,鳥取県米子市安倍1-1,チュスタ,CHUBU YAJIN STADIUM,,7044
71,セービング陸上競技場,山口県下関市向洋町1-10-1,ＳＶ下関,Saving Athletics Stadium,,7016
